VB:"hoover" VBZ:"hoovers" VBG:"hoovering" VBD:"hoovered" VBN:"hoovered"
VB:"nail" VBZ:"nails" VBG:"nailing" VBD:"nailed" VBN:"nailed"
VB:"name" VBZ:"names" VBG:"naming" VBD:"named" VBN:"named"
VB:"name-drop" VBZ:"name-drops" VBG:"name-dropping" VBD:"name-dropped" VBN:"name-dropped"
VB:"nap" VBZ:"naps" VBG:"napping" VBD:"napped" VBN:"napped"
VB:"nark" VBZ:"narks" VBG:"narking" VBD:"narked" VBN:"narked"
VB:"narrate" VBZ:"narrates" VBG:"narrating" VBD:"narrated" VBN:"narrated"
VB:"narrow" VBZ:"narrows" VBG:"narrowing" VBD:"narrowed" VBN:"narrowed"
VB:"nasalize" VBZ:"nasalizes" VBG:"nasalizing" VBD:"nasalized" VBN:"nasalized"
VB:"nationalize" VBZ:"nationalizes" VBG:"nationalizing" VBD:"nationalized" VBN:"nationalized"
VB:"natter" VBZ:"natters" VBG:"nattering" VBD:"nattered" VBN:"nattered"
VB:"naturalize" VBZ:"naturalizes" VBG:"naturalizing" VBD:"naturalized" VBN:"naturalized"
VB:"nauseate" VBZ:"nauseates" VBG:"nauseating" VBD:"nauseated" VBN:"nauseated"
VB:"navigate" VBZ:"navigates" VBG:"navigating" VBD:"navigated" VBN:"navigated"
VB:"near" VBZ:"nears" VBG:"nearing" VBD:"neared" VBN:"neared"
VB:"necessitate" VBZ:"necessitates" VBG:"necessitating" VBD:"necessitated" VBN:"necessitated"
VB:"neck" VBZ:"necks" VBG:"necking" VBD:"necked" VBN:"necked"
VB:"need" VBZ:"needs" VBG:"needing" VBD:"needed" VBN:"needed"
VB:"need" VBZ:"needs" VBG:"needing" VBD:"needed" VBN:"needed"
VB:"needle" VBZ:"needles" VBG:"needling" VBD:"needled" VBN:"needled"
VB:"negate" VBZ:"negates" VBG:"negating" VBD:"negated" VBN:"negated"
VB:"negative" VBZ:"negatives" VBG:"negativing" VBD:"negatived" VBN:"negatived"
VB:"neglect" VBZ:"neglects" VBG:"neglecting" VBD:"neglected" VBN:"neglected"
VB:"negotiate" VBZ:"negotiates" VBG:"negotiating" VBD:"negotiated" VBN:"negotiated"
VB:"neigh" VBZ:"neighs" VBG:"neighing" VBD:"neighed" VBN:"neighed"
VB:"neighbour" VBZ:"neighbours" VBG:"neighbouring" VBD:"neighboured" VBN:"neighboured"
VB:"nerve" VBZ:"nerves" VBG:"nerving" VBD:"nerved" VBN:"nerved"
VB:"nest" VBZ:"nests" VBG:"nesting" VBD:"nested" VBN:"nested"
VB:"nestle" VBZ:"nestles" VBG:"nestling" VBD:"nestled" VBN:"nestled"
VB:"net" VBZ:"nets" VBG:"netting" VBD:"netted" VBN:"netted"
VB:"nett" VBZ:"netts" VBG:"netting" VBD:"netted" VBN:"netted"
VB:"nettle" VBZ:"nettles" VBG:"nettling" VBD:"nettled" VBN:"nettled"
VB:"neuter" VBZ:"neuters" VBG:"neutering" VBD:"neutered" VBN:"neutered"
VB:"neutralize" VBZ:"neutralizes" VBG:"neutralizing" VBD:"neutralized" VBN:"neutralized"
VB:"nibble" VBZ:"nibbles" VBG:"nibbling" VBD:"nibbled" VBN:"nibbled"
VB:"nick" VBZ:"nicks" VBG:"nicking" VBD:"nicked" VBN:"nicked"
VB:"nickel" VBZ:"nickels" VBG:"nickelling" VBD:"nickelled" VBN:"nickelled"
VB:"nickname" VBZ:"nicknames" VBG:"nicknaming" VBD:"nicknamed" VBN:"nicknamed"
VB:"niggle" VBZ:"niggles" VBG:"niggling" VBD:"niggled" VBN:"niggled"
VB:"nip" VBZ:"nips" VBG:"nipping" VBD:"nipped" VBN:"nipped"
VB:"nobble" VBZ:"nobbles" VBG:"nobbling" VBD:"nobbled" VBN:"nobbled"
VB:"nod" VBZ:"nods" VBG:"nodding" VBD:"nodded" VBN:"nodded"
VB:"noise" VBZ:"noises" VBG:"noising" VBD:"noised" VBN:"noised"
VB:"nominate" VBZ:"nominates" VBG:"nominating" VBD:"nominated" VBN:"nominated"
VB:"nonplus" VBZ:"nonplusses" VBG:"nonplussing" VBD:"nonplussed" VBN:"nonplussed"
VB:"noose" VBZ:"nooses" VBG:"noosing" VBD:"noosed" VBN:"noosed"
VB:"normalize" VBZ:"normalizes" VBG:"normalizing" VBD:"normalized" VBN:"normalized"
VB:"nose" VBZ:"noses" VBG:"nosing" VBD:"nosed" VBN:"nosed"
VB:"nosedive" VBZ:"nosedives" VBG:"nosediving" VBD:"nosedived" VBN:"nosedived"
VB:"nosh" VBZ:"noshes" VBG:"noshing" VBD:"noshed" VBN:"noshed"
VB:"notch" VBZ:"notches" VBG:"notching" VBD:"notched" VBN:"notched"
VB:"note" VBZ:"notes" VBG:"noting" VBD:"noted" VBN:"noted"
VB:"notice" VBZ:"notices" VBG:"noticing" VBD:"noticed" VBN:"noticed"
VB:"notify" VBZ:"notifies" VBG:"notifying" VBD:"notified" VBN:"notified"
VB:"nourish" VBZ:"nourishes" VBG:"nourishing" VBD:"nourished" VBN:"nourished"
VB:"nudge" VBZ:"nudges" VBG:"nudging" VBD:"nudged" VBN:"nudged"
VB:"nullify" VBZ:"nullifies" VBG:"nullifying" VBD:"nullified" VBN:"nullified"
VB:"numb" VBZ:"numbs" VBG:"numbing" VBD:"numbed" VBN:"numbed"
VB:"number" VBZ:"numbers" VBG:"numbering" VBD:"numbered" VBN:"numbered"
VB:"nurse" VBZ:"nurses" VBG:"nursing" VBD:"nursed" VBN:"nursed"
VB:"nurture" VBZ:"nurtures" VBG:"nurturing" VBD:"nurtured" VBN:"nurtured"
VB:"nut" VBZ:"nuts" VBG:"nutting" VBD:"nutted" VBN:"nutted"
VB:"nuzzle" VBZ:"nuzzles" VBG:"nuzzling" VBD:"nuzzled" VBN:"nuzzled"
VB:"obey" VBZ:"obeys" VBG:"obeying" VBD:"obeyed" VBN:"obeyed"
VB:"obfuscate" VBZ:"obfuscates" VBG:"obfuscating" VBD:"obfuscated" VBN:"obfuscated"
VB:"object" VBZ:"objects" VBG:"objecting" VBD:"objected" VBN:"objected"
VB:"objurgate" VBZ:"objurgates" VBG:"objurgating" VBD:"objurgated" VBN:"objurgated"
VB:"obligate" VBZ:"obligates" VBG:"obligating" VBD:"obligated" VBN:"obligated"
VB:"oblige" VBZ:"obliges" VBG:"obliging" VBD:"obliged" VBN:"obliged"
VB:"obliterate" VBZ:"obliterates" VBG:"obliterating" VBD:"obliterated" VBN:"obliterated"
VB:"obscure" VBZ:"obscures" VBG:"obscuring" VBD:"obscured" VBN:"obscured"
VB:"observe" VBZ:"observes" VBG:"observing" VBD:"observed" VBN:"observed"
VB:"obsess" VBZ:"obsesses" VBG:"obsessing" VBD:"obsessed" VBN:"obsessed"
VB:"obstruct" VBZ:"obstructs" VBG:"obstructing" VBD:"obstructed" VBN:"obstructed"
VB:"obtain" VBZ:"obtains" VBG:"obtaining" VBD:"obtained" VBN:"obtained"
VB:"obtrude" VBZ:"obtrudes" VBG:"obtruding" VBD:"obtruded" VBN:"obtruded"
VB:"obviate" VBZ:"obviates" VBG:"obviating" VBD:"obviated" VBN:"obviated"
VB:"occasion" VBZ:"occasions" VBG:"occasioning" VBD:"occasioned" VBN:"occasioned"
VB:"occupy" VBZ:"occupies" VBG:"occupying" VBD:"occupied" VBN:"occupied"
VB:"occur" VBZ:"occurs" VBG:"occurring" VBD:"occurred" VBN:"occurred"
VB:"offend" VBZ:"offends" VBG:"offending" VBD:"offended" VBN:"offended"
VB:"offer" VBZ:"offers" VBG:"offering" VBD:"offered" VBN:"offered"
VB:"officiate" VBZ:"officiates" VBG:"officiating" VBD:"officiated" VBN:"officiated"
VB:"offset" VBZ:"offsets" VBG:"offsetting" VBD:"offset" VBN:"offset"
VB:"ogle" VBZ:"ogles" VBG:"ogling" VBD:"ogled" VBN:"ogled"
VB:"oil" VBZ:"oils" VBG:"oiling" VBD:"oiled" VBN:"oiled"
VB:"okay" VBZ:"okays" VBG:"okaying" VBD:"okayed" VBN:"okayed"
VB:"omen" VBZ:"omens" VBG:"omening" VBD:"omened" VBN:"omened"
VB:"omit" VBZ:"omits" VBG:"omitting" VBD:"omitted" VBN:"omitted"
VB:"ooze" VBZ:"oozes" VBG:"oozing" VBD:"oozed" VBN:"oozed"
VB:"open" VBZ:"opens" VBG:"opening" VBD:"opened" VBN:"opened"
VB:"operate" VBZ:"operates" VBG:"operating" VBD:"operated" VBN:"operated"
VB:"opine" VBZ:"opines" VBG:"opining" VBD:"opined" VBN:"opined"
VB:"oppose" VBZ:"opposes" VBG:"opposing" VBD:"opposed" VBN:"opposed"
VB:"oppress" VBZ:"oppresses" VBG:"oppressing" VBD:"oppressed" VBN:"oppressed"
VB:"oppugn" VBZ:"oppugns" VBG:"oppugning" VBD:"oppugned" VBN:"oppugned"
VB:"opt" VBZ:"opts" VBG:"opting" VBD:"opted" VBN:"opted"
VB:"orate" VBZ:"orates" VBG:"orating" VBD:"orated" VBN:"orated"
VB:"orbit" VBZ:"orbits" VBG:"orbiting" VBD:"orbited" VBN:"orbited"
VB:"orchestrate" VBZ:"orchestrates" VBG:"orchestrating" VBD:"orchestrated" VBN:"orchestrated"
VB:"ordain" VBZ:"ordains" VBG:"ordaining" VBD:"ordained" VBN:"ordained"
VB:"order" VBZ:"orders" VBG:"ordering" VBD:"ordered" VBN:"ordered"
VB:"organize" VBZ:"organizes" VBG:"organizing" VBD:"organized" VBN:"organized"
VB:"orient" VBZ:"orients" VBG:"orienting" VBD:"oriented" VBN:"oriented"
VB:"orientate" VBZ:"orientates" VBG:"orientating" VBD:"orientated" VBN:"orientated"
VB:"originate" VBZ:"originates" VBG:"originating" VBD:"originated" VBN:"originated"
VB:"ornament" VBZ:"ornaments" VBG:"ornamenting" VBD:"ornamented" VBN:"ornamented"
VB:"orphan" VBZ:"orphans" VBG:"orphaning" VBD:"orphaned" VBN:"orphaned"
VB:"oscillate" VBZ:"oscillates" VBG:"oscillating" VBD:"oscillated" VBN:"oscillated"
VB:"ossify" VBZ:"ossifies" VBG:"ossifying" VBD:"ossified" VBN:"ossified"
VB:"ostracize" VBZ:"ostracizes" VBG:"ostracizing" VBD:"ostracized" VBN:"ostracized"
VB:"ought" VBZ:"ought" VBG:"-" VBD:"-" VBN:"-"
VB:"oust" VBZ:"ousts" VBG:"ousting" VBD:"ousted" VBN:"ousted"
VB:"out" VBZ:"outs" VBG:"outing" VBD:"outed" VBN:"outed"
VB:"out-herod" VBZ:"out-herods" VBG:"out-heroding" VBD:"out-heroded" VBN:"out-heroded"
VB:"outbalance" VBZ:"outbalances" VBG:"outbalancing" VBD:"outbalanced" VBN:"outbalanced"
VB:"outbid" VBZ:"outbids" VBG:"outbidding" VBD:"outbid" VBN:"outbid"
VB:"outbrave" VBZ:"outbraves" VBG:"outbraving" VBD:"outbraved" VBN:"outbraved"
VB:"outclass" VBZ:"outclasses" VBG:"outclassing" VBD:"outclassed" VBN:"outclassed"
VB:"outdistance" VBZ:"outdistances" VBG:"outdistancing" VBD:"outdistanced" VBN:"outdistanced"
VB:"outdo" VBZ:"outdoes" VBG:"outdoing" VBD:"outdid" VBN:"outdone"
VB:"outface" VBZ:"outfaces" VBG:"outfacing" VBD:"outfaced" VBN:"outfaced"
VB:"outfight" VBZ:"outfights" VBG:"outfighting" VBD:"outfought" VBN:"outfought"
VB:"outfit" VBZ:"outfits" VBG:"outfitting" VBD:"outfitted" VBN:"outfitted"
VB:"outflank" VBZ:"outflanks" VBG:"outflanking" VBD:"outflanked" VBN:"outflanked"
VB:"outfox" VBZ:"outfoxes" VBG:"outfoxing" VBD:"outfoxed" VBN:"outfoxed"
VB:"outgo" VBZ:"outgoes" VBG:"outgoing" VBD:"outwent" VBN:"outgone"
VB:"outgrow" VBZ:"outgrows" VBG:"outgrowing" VBD:"outgrew" VBN:"outgrown"
VB:"outlast" VBZ:"outlasts" VBG:"outlasting" VBD:"outlasted" VBN:"outlasted"
VB:"outlaw" VBZ:"outlaws" VBG:"outlawing" VBD:"outlawed" VBN:"outlawed"
VB:"outline" VBZ:"outlines" VBG:"outlining" VBD:"outlined" VBN:"outlined"
VB:"outlive" VBZ:"outlives" VBG:"outliving" VBD:"outlived" VBN:"outlived"
VB:"outmanoeuvre" VBZ:"outmanoeuvres" VBG:"outmanoeuvring" VBD:"outmanoeuvred" VBN:"outmanoeuvred"
VB:"outmarch" VBZ:"outmarches" VBG:"outmarching" VBD:"outmarched" VBN:"outmarched"
VB:"outmatch" VBZ:"outmatches" VBG:"outmatching" VBD:"outmatched" VBN:"outmatched"
VB:"outnumber" VBZ:"outnumbers" VBG:"outnumbering" VBD:"outnumbered" VBN:"outnumbered"
VB:"outplay" VBZ:"outplays" VBG:"outplaying" VBD:"outplayed" VBN:"outplayed"
VB:"outpoint" VBZ:"outpoints" VBG:"outpointing" VBD:"outpointed" VBN:"outpointed"
VB:"outrage" VBZ:"outrages" VBG:"outraging" VBD:"outraged" VBN:"outraged"
VB:"outrange" VBZ:"outranges" VBG:"outranging" VBD:"outranged" VBN:"outranged"
VB:"outrank" VBZ:"outranks" VBG:"outranking" VBD:"outranked" VBN:"outranked"
VB:"outride" VBZ:"outrides" VBG:"outriding" VBD:"outrode" VBN:"outridden"
VB:"outrival" VBZ:"outrivals" VBG:"outrivalling" VBD:"outrivalled" VBN:"outrivalled"
VB:"outrun" VBZ:"outruns" VBG:"outrunning" VBD:"outran" VBN:"outrun"
VB:"outsail" VBZ:"outsails" VBG:"outsailing" VBD:"outsailed" VBN:"outsailed"
VB:"outshine" VBZ:"outshines" VBG:"outshining" VBD:"outshone" VBN:"outshone"
VB:"outsmart" VBZ:"outsmarts" VBG:"outsmarting" VBD:"outsmarted" VBN:"outsmarted"
VB:"outspan" VBZ:"outspans" VBG:"outspanning" VBD:"outspanned" VBN:"outspanned"
VB:"outstay" VBZ:"outstays" VBG:"outstaying" VBD:"outstayed" VBN:"outstayed"
VB:"outstrip" VBZ:"outstrips" VBG:"outstripping" VBD:"outstripped" VBN:"outstripped"
VB:"outvie" VBZ:"outvies" VBG:"outvying" VBD:"outvied" VBN:"outvied"
VB:"outvote" VBZ:"outvotes" VBG:"outvoting" VBD:"outvoted" VBN:"outvoted"
VB:"outwear" VBZ:"outwears" VBG:"outwearing" VBD:"outwore" VBN:"outworn"
VB:"outweigh" VBZ:"outweighs" VBG:"outweighing" VBD:"outweighed" VBN:"outweighed"
VB:"outwit" VBZ:"outwits" VBG:"outwitting" VBD:"outwitted" VBN:"outwitted"
VB:"overact" VBZ:"overacts" VBG:"overacting" VBD:"overacted" VBN:"overacted"
VB:"overarch" VBZ:"overarches" VBG:"overarching" VBD:"overarched" VBN:"overarched"
VB:"overawe" VBZ:"overawes" VBG:"overawing" VBD:"overawed" VBN:"overawed"
VB:"overbalance" VBZ:"overbalances" VBG:"overbalancing" VBD:"overbalanced" VBN:"overbalanced"
VB:"overbear" VBZ:"overbears" VBG:"overbearing" VBD:"overbore" VBN:"overborne"
VB:"overbid" VBZ:"overbids" VBG:"overbidding" VBD:"overbid" VBN:"overbid"
VB:"overburden" VBZ:"overburdens" VBG:"overburdening" VBD:"overburdened" VBN:"overburdened"
VB:"overcall" VBZ:"overcalls" VBG:"overcalling" VBD:"overcalled" VBN:"overcalled"
VB:"overcapitalize" VBZ:"overcapitalizes" VBG:"overcapitalizing" VBD:"overcapitalized" VBN:"overcapitalized"
VB:"overcharge" VBZ:"overcharges" VBG:"overcharging" VBD:"overcharged" VBN:"overcharged"
VB:"overclothe" VBZ:"overclothes" VBG:"overclothing" VBD:"overclothed" VBN:"overclothed"
VB:"overcloud" VBZ:"overclouds" VBG:"overclouding" VBD:"overclouded" VBN:"overclouded"
VB:"overcome" VBZ:"overcomes" VBG:"overcoming" VBD:"overcame" VBN:"overcome"
VB:"overcook" VBZ:"overcooks" VBG:"overcooking" VBD:"overcooked" VBN:"overcooked"
VB:"overcrop" VBZ:"overcrops" VBG:"overcropping" VBD:"overcropped" VBN:"overcropped"
VB:"overcrowd" VBZ:"overcrowds" VBG:"overcrowding" VBD:"overcrowded" VBN:"overcrowded"
VB:"overdo" VBZ:"overdoes" VBG:"overdoing" VBD:"overdid" VBN:"overdone"
VB:"overdraw" VBZ:"overdraws" VBG:"overdrawing" VBD:"overdrew" VBN:"overdrawn"
VB:"overdress" VBZ:"overdresses" VBG:"overdressing" VBD:"overdressed" VBN:"overdressed"
VB:"overeat" VBZ:"overeats" VBG:"overeating" VBD:"overate" VBN:"overeaten"
VB:"overemphasize" VBZ:"overemphasizes" VBG:"overemphasizing" VBD:"overemphasized" VBN:"overemphasized"
VB:"overestimate" VBZ:"overestimates" VBG:"overestimating" VBD:"overestimated" VBN:"overestimated"
VB:"overexert" VBZ:"overexerts" VBG:"overexerting" VBD:"overexerted" VBN:"overexerted"
VB:"overexpose" VBZ:"overexposes" VBG:"overexposing" VBD:"overexposed" VBN:"overexposed"
VB:"overfeed" VBZ:"overfeeds" VBG:"overfeeding" VBD:"overfeeded" VBN:"overfeeded"
VB:"overflow" VBZ:"overflows" VBG:"overflowing" VBD:"overflowed" VBN:"overflowed"
VB:"overfly" VBZ:"overflies" VBG:"overflying" VBD:"overflew" VBN:"overflown"
VB:"overhang" VBZ:"overhangs" VBG:"overhanging" VBD:"overhung" VBN:"overhung"
VB:"overhaul" VBZ:"overhauls" VBG:"overhauling" VBD:"overhauled" VBN:"overhauled"
VB:"overhear" VBZ:"overhears" VBG:"overhearing" VBD:"overheard" VBN:"overheard"
VB:"overheat" VBZ:"overheats" VBG:"overheating" VBD:"overheated" VBN:"overheated"
VB:"overindulge" VBZ:"overindulges" VBG:"overindulging" VBD:"overindulged" VBN:"overindulged"
VB:"overlap" VBZ:"overlaps" VBG:"overlapping" VBD:"overlapped" VBN:"overlapped"
VB:"overlay" VBZ:"overlays" VBG:"overlaying" VBD:"overlaid" VBN:"overlain"
VB:"overleap" VBZ:"overleaps" VBG:"overleaping" VBD:"overleaped" VBN:"overleaped"
VB:"overlie" VBZ:"overlies" VBG:"overlying" VBD:"overlaid" VBN:"overlaid"
VB:"overload" VBZ:"overloads" VBG:"overloading" VBD:"overloaded" VBN:"overloaded"
VB:"overlook" VBZ:"overlooks" VBG:"overlooking" VBD:"overlooked" VBN:"overlooked"
VB:"overmaster" VBZ:"overmasters" VBG:"overmastering" VBD:"overmastered" VBN:"overmastered"
VB:"overpay" VBZ:"overpays" VBG:"overpaying" VBD:"overpaid" VBN:"overpaid"
VB:"overplay" VBZ:"overplays" VBG:"overplaying" VBD:"overplayed" VBN:"overplayed"
VB:"overpower" VBZ:"overpowers" VBG:"overpowering" VBD:"overpowered" VBN:"overpowered"
VB:"overpraise" VBZ:"overpraises" VBG:"overpraising" VBD:"overpraised" VBN:"overpraised"
VB:"overprint" VBZ:"overprints" VBG:"overprinting" VBD:"overprinted" VBN:"overprinted"
VB:"overproduce" VBZ:"overproduces" VBG:"overproducing" VBD:"overproduced" VBN:"overproduced"
VB:"overrate" VBZ:"overrates" VBG:"overrating" VBD:"overrated" VBN:"overrated"
VB:"overreach" VBZ:"overreaches" VBG:"overreaching" VBD:"overreached" VBN:"overreached"
VB:"override" VBZ:"overrides" VBG:"overriding" VBD:"overrode" VBN:"overridden"
VB:"overrule" VBZ:"overrules" VBG:"overruling" VBD:"overruled" VBN:"overruled"
VB:"overrun" VBZ:"overruns" VBG:"overrunning" VBD:"overran" VBN:"overrun"
VB:"oversee" VBZ:"oversees" VBG:"overseeing" VBD:"oversaw" VBN:"overseen"
VB:"oversew" VBZ:"oversews" VBG:"oversewing" VBD:"oversewed" VBN:"oversewn"
VB:"overshadow" VBZ:"overshadows" VBG:"overshadowing" VBD:"overshadowed" VBN:"overshadowed"
VB:"overshoot" VBZ:"overshoots" VBG:"overshooting" VBD:"overshot" VBN:"overshot"
VB:"oversimplify" VBZ:"oversimplifies" VBG:"oversimplifying" VBD:"oversimplified" VBN:"oversimplified"
VB:"oversleep" VBZ:"oversleeps" VBG:"oversleeping" VBD:"overslept" VBN:"overslept"
VB:"overspend" VBZ:"overspends" VBG:"overspending" VBD:"overspent" VBN:"overspent"
VB:"overstate" VBZ:"overstates" VBG:"overstating" VBD:"overstated" VBN:"overstated"
VB:"overstay" VBZ:"overstays" VBG:"overstaying" VBD:"overstayed" VBN:"overstayed"
VB:"overstep" VBZ:"oversteps" VBG:"overstepping" VBD:"overstepped" VBN:"overstepped"
VB:"overstock" VBZ:"overstocks" VBG:"overstocking" VBD:"overstocked" VBN:"overstocked"
VB:"overstrain" VBZ:"overstrains" VBG:"overstraining" VBD:"overstrained" VBN:"overstrained"
VB:"overtake" VBZ:"overtakes" VBG:"overtaking" VBD:"overtook" VBN:"overtaken"
VB:"overtax" VBZ:"overtaxes" VBG:"overtaxing" VBD:"overtaxed" VBN:"overtaxed"
VB:"overthrow" VBZ:"overthrows" VBG:"overthrowing" VBD:"overthrew" VBN:"overthrown"
VB:"overtop" VBZ:"overtops" VBG:"overtopping" VBD:"overtopped" VBN:"overtopped"
VB:"overtrump" VBZ:"overtrumps" VBG:"overtrumping" VBD:"overtrumped" VBN:"overtrumped"
VB:"overturn" VBZ:"overturns" VBG:"overturning" VBD:"overturned" VBN:"overturned"
VB:"overvalue" VBZ:"overvalues" VBG:"overvaluing" VBD:"overvalued" VBN:"overvalued"
VB:"overwhelm" VBZ:"overwhelms" VBG:"overwhelming" VBD:"overwhelmed" VBN:"overwhelmed"
VB:"overwork" VBZ:"overworks" VBG:"overworking" VBD:"overworked" VBN:"overworked"
VB:"owe" VBZ:"owes" VBG:"owing" VBD:"owed" VBN:"owed"
VB:"own" VBZ:"owns" VBG:"owning" VBD:"owned" VBN:"owned"
VB:"oxidize" VBZ:"oxidizes" VBG:"oxidizing" VBD:"oxidized" VBN:"oxidized"
VB:"oxygenate" VBZ:"oxygenates" VBG:"oxygenating" VBD:"oxygenated" VBN:"oxygenated"
VB:"oxygenize" VBZ:"oxygenizes" VBG:"oxygenizing" VBD:"oxygenized" VBN:"oxygenized"
VB:"pace" VBZ:"paces" VBG:"pacing" VBD:"paced" VBN:"paced"
VB:"pacify" VBZ:"pacifies" VBG:"pacifying" VBD:"pacified" VBN:"pacified"
VB:"pack" VBZ:"packs" VBG:"packing" VBD:"packed" VBN:"packed"
VB:"package" VBZ:"packages" VBG:"packaging" VBD:"packaged" VBN:"packaged"
VB:"pad" VBZ:"pads" VBG:"padding" VBD:"padded" VBN:"padded"
VB:"paddle" VBZ:"paddles" VBG:"paddling" VBD:"paddled" VBN:"paddled"
VB:"padlock" VBZ:"padlocks" VBG:"padlocking" VBD:"padlocked" VBN:"padlocked"
VB:"page" VBZ:"pages" VBG:"paging" VBD:"paged" VBN:"paged"
VB:"pain" VBZ:"pains" VBG:"paining" VBD:"pained" VBN:"pained"
VB:"paint" VBZ:"paints" VBG:"painting" VBD:"painted" VBN:"painted"
VB:"pair" VBZ:"pairs" VBG:"pairing" VBD:"paired" VBN:"paired"
VB:"pal" VBZ:"pals" VBG:"palling" VBD:"palled" VBN:"palled"
VB:"palaver" VBZ:"palavers" VBG:"palavering" VBD:"palavered" VBN:"palavered"
VB:"pale" VBZ:"pales" VBG:"paling" VBD:"paled" VBN:"paled"
VB:"palisade" VBZ:"palisades" VBG:"palisading" VBD:"palisaded" VBN:"palisaded"
VB:"pall" VBZ:"palls" VBG:"palling" VBD:"palled" VBN:"palled"
VB:"palliate" VBZ:"palliates" VBG:"palliating" VBD:"palliated" VBN:"palliated"
VB:"palm" VBZ:"palms" VBG:"palming" VBD:"palmed" VBN:"palmed"
VB:"palpitate" VBZ:"palpitates" VBG:"palpitating" VBD:"palpitated" VBN:"palpitated"
VB:"palsy" VBZ:"palsies" VBG:"palsying" VBD:"palsied" VBN:"palsied"
VB:"palter" VBZ:"palters" VBG:"paltering" VBD:"paltered" VBN:"paltered"
VB:"pamper" VBZ:"pampers" VBG:"pampering" VBD:"pampered" VBN:"pampered"
VB:"pan" VBZ:"pans" VBG:"panning" VBD:"panned" VBN:"panned"
VB:"pander" VBZ:"panders" VBG:"pandering" VBD:"pandered" VBN:"pandered"
VB:"panel" VBZ:"panels" VBG:"panelling" VBD:"panelled" VBN:"panelled"
VB:"panhandle" VBZ:"panhandles" VBG:"panhandling" VBD:"panhandled" VBN:"panhandled"
VB:"panic" VBZ:"panics" VBG:"panicking" VBD:"panicked" VBN:"panicked"
VB:"pant" VBZ:"pants" VBG:"panting" VBD:"panted" VBN:"panted"
VB:"paper" VBZ:"papers" VBG:"papering" VBD:"papered" VBN:"papered"
VB:"parachute" VBZ:"parachutes" VBG:"parachuting" VBD:"parachuted" VBN:"parachuted"
VB:"parade" VBZ:"parades" VBG:"parading" VBD:"paraded" VBN:"paraded"
VB:"paragraph" VBZ:"paragraphs" VBG:"paragraphing" VBD:"paragraphed" VBN:"paragraphed"
VB:"parallel" VBZ:"parallels" VBG:"parallelling" VBD:"parallelled" VBN:"parallelled"
VB:"paralyse" VBZ:"paralyses" VBG:"paralysing" VBD:"paralysed" VBN:"paralysed"
VB:"paralyze" VBZ:"paralyzes" VBG:"paralyzing" VBD:"paralyzed" VBN:"paralyzed"
VB:"paraphrase" VBZ:"paraphrases" VBG:"paraphrasing" VBD:"paraphrased" VBN:"paraphrased"
VB:"parboil" VBZ:"parboils" VBG:"parboiling" VBD:"parboiled" VBN:"parboiled"
VB:"parcel" VBZ:"parcels" VBG:"parcelling" VBD:"parcelled" VBN:"parcelled"
VB:"parch" VBZ:"parches" VBG:"parching" VBD:"parched" VBN:"parched"
VB:"pardon" VBZ:"pardons" VBG:"pardoning" VBD:"pardoned" VBN:"pardoned"
VB:"pare" VBZ:"pares" VBG:"paring" VBD:"pared" VBN:"pared"
VB:"park" VBZ:"parks" VBG:"parking" VBD:"parked" VBN:"parked"
VB:"parley" VBZ:"parleys" VBG:"parleying" VBD:"parleyed" VBN:"parleyed"
VB:"parody" VBZ:"parodies" VBG:"parodying" VBD:"parodied" VBN:"parodied"
VB:"parole" VBZ:"paroles" VBG:"paroling" VBD:"paroled" VBN:"paroled"
VB:"parry" VBZ:"parries" VBG:"parrying" VBD:"parried" VBN:"parried"
VB:"parse" VBZ:"parses" VBG:"parsing" VBD:"parsed" VBN:"parsed"
VB:"part" VBZ:"parts" VBG:"parting" VBD:"parted" VBN:"parted"
VB:"partake" VBZ:"partakes" VBG:"partaking" VBD:"partook" VBN:"partaken"
VB:"participate" VBZ:"participates" VBG:"participating" VBD:"participated" VBN:"participated"
VB:"particularize" VBZ:"particularizes" VBG:"particularizing" VBD:"particularized" VBN:"particularized"
VB:"partition" VBZ:"partitions" VBG:"partitioning" VBD:"partitioned" VBN:"partitioned"
VB:"partner" VBZ:"partners" VBG:"partnering" VBD:"partnered" VBN:"partnered"
VB:"pass" VBZ:"passes" VBG:"passing" VBD:"passed" VBN:"passed"
VB:"paste" VBZ:"pastes" VBG:"pasting" VBD:"pasted" VBN:"pasted"
VB:"pasteurize" VBZ:"pasteurizes" VBG:"pasteurizing" VBD:"pasteurized" VBN:"pasteurized"
VB:"pasture" VBZ:"pastures" VBG:"pasturing" VBD:"pastured" VBN:"pastured"
VB:"pat" VBZ:"pats" VBG:"patting" VBD:"patted" VBN:"patted"
VB:"patch" VBZ:"patches" VBG:"patching" VBD:"patched" VBN:"patched"
VB:"patent" VBZ:"patents" VBG:"patenting" VBD:"patented" VBN:"patented"
VB:"patrol" VBZ:"patrols" VBG:"patrolling" VBD:"patrolled" VBN:"patrolled"
VB:"patronize" VBZ:"patronizes" VBG:"patronizing" VBD:"patronized" VBN:"patronized"
VB:"patter" VBZ:"patters" VBG:"pattering" VBD:"pattered" VBN:"pattered"
VB:"pattern" VBZ:"patterns" VBG:"patterning" VBD:"patterned" VBN:"patterned"
